B12352,SRR7909282
B12681,SRR7909214
B12677,SRR7909135
B12490,SRR7909210
B12427,SRR7909184
B12430,SRR7909233
B12461,SRR7909234
B12467,SRR7909297
B12824,SRR7909313
B12825,SRR7909385
B12044,SRR7909147
B12456,SRR7909156
B12466,SRR7909413
B13613,SRR7909284
B13520,SRR7909394
B13519,SRR7909408
B12749,SRR7909166
B12552,SRR7909192
B12555,SRR7909183
B12776,SRR7909308
B13558,SRR7909246
B13343,SRR7909249
